"match (certainty/distance)",lng-IV,lng-CAMPOP,lat-IV,lat-CAMPOP
"ABBOTSBURY -> ABBOTSBURY, DORSET (100 / 6.5mi)",50.73,-2.71,50.6664917376681,-2.60052785761173
"ABERDARE -> ABERDARE, GLAMORGANSHIRE (100 / 6.2mi)",51.8,-3.41,51.7131255343347,-3.44249761068677
"ABERDOVEY -> ABERDOVEY, MERIONETHSHIRE (100 / 7.1mi)",52.63,-3.95,52.5440752047442,-4.04430958316743
"ABRAM -> ABRAM, LANCASHIRE (100 / 8.3mi)",53.58,-2.43,53.5100236499206,-2.59445562567107
"ACKWORTH -> ACKWORTH, YORKSHIRE WEST RIDING (100 / 11.6mi)",53.75,-1.1,53.6566447594888,-1.33478921753467
"ACTON -> ACTON, CHESHIRE (100 / 6mi)",53.15,-2.48,53.0737687859763,-2.55115505545533
"ADDERBURY -> ADDERBURY, OXFORDSHIRE (100 / 3.5mi)",52.06,-1.28,52.0148308038046,-1.3153635197646
"ADDINGHAM -> ADDINGHAM, YORKSHIRE WEST RIDING (100 / 11.7mi)",54,-1.6,53.9433157223697,-1.87166369998135
"ADDINGTON -> ADDINGTON, BUCKINGHAMSHIRE (100 / 3.7mi)",51.98,-0.85,51.9499640472457,-0.920797790703691
"ADDINGTON -> ADDINGTON, SURREY (100 / 4mi)",51.41,0.01,51.3583623128401,-0.03223191448516
"ADLINGTON -> ADLINGTON, LANCASHIRE (100 / 63.1mi)",52.7,-2.46,53.6095908806344,-2.60484579618172
"ADWALTON -> ADWALTON, YORKSHIRE WEST RIDING (100 / 12.4mi)",53.83,-1.38,53.7539128766744,-1.65469957617965
"ALBURY -> ALBURY, SURREY (100 / 5.1mi)",51.21,-0.38,51.2181337306771,-0.497458747484866
"ALDBOROUGH -> ALDBOROUGH, YORKSHIRE EAST RIDING (100 / 8.6mi)",53.91,0.05,53.8298583477913,-0.111008317230399
"ALDENHAM -> ALDENHAM, HERTFORDSHIRE (100 / 2.6mi)",51.71,-0.28,51.6799709162889,-0.315634268101414
"ALDERLEY -> ALDERLEY, GLOUCESTERSHIRE (100 / 2.5mi)",51.65,-2.35,51.6155109687599,-2.33575616188975
"ALDERSHOT -> ALDERSHOT, HAMPSHIRE (100 / 4.2mi)",51.26,-0.66,51.2471640691154,-0.755895810801518
"ALFORD -> ALFORD, LINCOLNSHIRE (100 / 7mi)",53.35,0.26,53.2612384823833,0.179732084206119
