place-IV,lng-IV,lat-IV,lng-OSM,lat-OSM,uuid,uri,place,county,"distance (km)","longitude negated"
Abberton,-1.85,52.18,-2.0108584,52.1793174,IV1680-001-02,http://www.openstreetmap.org/node/289662273,Abberton,Worcestershire,1.83,,100
Abbington,-0.81,52.3,-0.8647241,52.249222,IV1680-001-04,http://www.openstreetmap.org/node/710771845,Abington,Northamptonshire,2.41,,94.12
ABBOTSBURY,-2.71,50.73,-2.5989684,50.6663204,IV1680-001-07,http://www.openstreetmap.org/node/29928046,Abbotsbury,Dorset,0.73,,100
Abbotsham,-4.28,51.1,-4.2479135,51.0164676,IV1680-001-10,http://www.openstreetmap.org/node/2479409948,Abbotsham,Devon,6.88,,100
Abbotston,-1.08,51.16,-1.1972006,51.1074679,IV1680-001-15,http://www.openstreetmap.org/node/602728585,Abbotstone,Hampshire,2.25,,94.74
Abcot,-2.9,52.43,-2.8962446,52.4020634,IV1680-001-22,http://www.openstreetmap.org/node/2064567781,Abcott,Shropshire,2.88,,90.91
"Aben Hall",-2.33,51.85,-2.4791957,51.8529493,IV1680-001-25,http://www.openstreetmap.org/node/329892339,Abenhall,Gloucestershire,6.06,,94.12
Aberangel,-3.63,52.78,-3.7092328,52.6761994,IV1680-001-27,http://www.openstreetmap.org/node/29739593,Aberangell,Merionethshire,1.65,,94.74
Aberarth,-4.11,52.36,-4.2276596,52.2514564,IV1680-001-28,http://www.openstreetmap.org/node/1038101627,Aberarth,Cardiganshire,1.17,,100
Aberbrayn,-3.41,52.03,-3.4780294,51.9554007,IV1680-001-30,http://www.openstreetmap.org/node/1064721850,Aberbran,Brecknockshire,4.11,,94.12
Aberdow,-3.25,52.15,-3.3459423,52.1161837,IV1680-001-38,http://www.openstreetmap.org/node/29271410,Aberedw,Radnorshire,2.45,,85.71
ABERFORTH,-1.06,53.88,-1.342764,53.8297708,IV1680-001-40,http://www.openstreetmap.org/node/30810977,Aberford,"Yorkshire West Riding",1.51,,82.35
Aberftaw,-4.38,53.41,-4.4676679,53.191913,IV1680-001-41,http://www.openstreetmap.org/node/568346074,Aberffraw,Anglesey,2.11,,82.35
Abergele,-3.43,53.41,-3.5810655,53.2840692,IV1680-001-42,http://www.openstreetmap.org/node/27459587,Abergele,Denbighshire,2.51,,100
Abergerlech,-4.01,52.1,-4.0607508,51.9836633,IV1680-001-43,http://www.openstreetmap.org/node/29233681,Abergorlech,Carmarthenshire,2,,90.91
ABERGEVENNY,-2.98,51.86,-3.014789,51.8211308,IV1680-001-44,http://www.openstreetmap.org/node/4038919407,Abergavenny,Monmouthshire,1.1,,90.91
Aberhavesp,-3.35,52.56,-3.3742606,52.5216131,IV1680-001-48,http://www.openstreetmap.org/node/1271115289,Aberhafesp,Montgomeryshire,1.7,,90
ABERISTWITH,-3.98,52.51,-4.0816846,52.4143113,IV1680-001-51,http://www.openstreetmap.org/node/21598107,Aberystwyth,Cardiganshire,1.11,,81.82
Abernant,-4.26,51.93,-4.4157435,51.8818537,IV1680-001-57,http://www.openstreetmap.org/node/280175569,Abernant,Carmarthenshire,5.29,,100
Aberporth,-4.45,52.25,-4.5462206,52.1341692,IV1680-001-58,http://www.openstreetmap.org/node/29228274,Aberporth,Cardiganshire,0.26,,100
ABINGTON,-1.15,51.68,-1.2779715,51.6714842,IV1680-002-05,http://www.openstreetmap.org/node/21311993,Abingdon,Berkshire,0.68,,87.5
Abington,-1.75,51.78,-1.8502539,51.7668978,IV1680-002-11,http://www.openstreetmap.org/node/253859722,Ablington,Gloucestershire,4.18,,94.12
Ablington,-1.73,51.26,-1.7749988,51.2212116,IV1680-002-12,http://www.openstreetmap.org/node/358049436,Ablington,Wiltshire,1.87,,100
Abney,-1.53,53.4,-1.7047536,53.3151787,IV1680-002-13,http://www.openstreetmap.org/node/29417886,Abney,Derbyshire,1.64,,100
Abram,-2.43,53.58,-2.5952405,53.5086727,IV1680-002-16,http://www.openstreetmap.org/node/30416956,Abram,Lancashire,0.09,,100
Abton,-2.6,52.5,-2.6261191,52.4742358,IV1680-002-23,http://www.openstreetmap.org/node/335522945,Abdon,Shropshire,0.79,,80
Aby,0.2,53.35,0.1163671,53.2839947,IV1680-002-25,http://www.openstreetmap.org/node/2654323663,Aby,Lincolnshire,2.32,,100
Acaster,-0.85,53.93,-1.1277294,53.8660881,IV1680-002-26,http://www.openstreetmap.org/node/29105074,"Acaster Selby","Yorkshire West Riding",1.18,,70
Achurch,-0.43,52.45,-0.4969406,52.4344683,IV1680-002-31,http://www.openstreetmap.org/node/1775176490,Achurch,Northamptonshire,2.83,,100
Acklam,-0.55,54.1,-0.8069315,54.045221,IV1680-002-33,http://www.openstreetmap.org/node/244763446,Acklam,"Yorkshire East Riding",5.63,,100
Acklam,-0.9,54.56,-1.2481608,54.545002,IV1680-002-34,http://www.openstreetmap.org/node/292691812,Acklam,"Yorkshire North Riding",0.7,,100
Ackley,-0.85,52.05,-0.9680537,52.0335093,IV1680-002-35,http://www.openstreetmap.org/node/1803601383,Akeley,Buckinghamshire,4.89,,83.33
Ackworth,-1.1,53.75,-1.3351451,53.656424,IV1680-002-36,http://www.openstreetmap.org/node/29804274,"High Ackworth","Yorkshire West Riding",0.48,,76.19
Acle,-1.95,51.88,-2.1061956,51.9128511,IV1680-002-40,http://www.openstreetmap.org/node/334390548,Arle,Gloucestershire,2.23,,75
Acleton,-2.3,52.6,-2.3394082,52.5849679,IV1680-002-41,http://www.openstreetmap.org/node/346466394,Ackleton,Shropshire,0.85,,93.33
Acol,1.28,51.36,1.3117207,51.3577564,IV1680-002-43,http://www.openstreetmap.org/node/27300417,Acol,Kent,2.04,,100
Acomb,-1.61,55.08,-2.1083725,54.9934403,IV1680-002-44,http://www.openstreetmap.org/node/306241357,Acomb,Northumberland,2.42,,100
Aconbury,-2.63,52.01,-2.7079469,51.9984266,IV1680-002-45,http://www.openstreetmap.org/node/603450512,Aconbury,Herefordshire,1.99,,100
Acryse,1.1,51.13,1.1344475,51.1384424,IV1680-002-46,http://www.openstreetmap.org/node/2020702413,Acrise,Kent,4.35,,83.33
Acton,-2.48,53.15,-2.5502172,53.0741801,IV1680-002-48,http://www.openstreetmap.org/node/1929196077,Acton,Cheshire,0.22,,100
Acton,-2.71,54.96,-3.1325885,54.8702931,IV1680-002-49,http://www.openstreetmap.org/node/5682950569,Aikton,Cumberland,4.51,,72.73
Acton,-2.9,53.16,-2.9821201,53.057849,IV1680-002-50,http://www.openstreetmap.org/node/364409264,Acton,Denbighshire,1.05,,100
Acton,-3,52.46,-3.0114931,52.4582569,IV1680-002-54,http://www.openstreetmap.org/node/2295498455,Acton,Shropshire,1.2,,100
Acton,0.75,52.13,0.7579926,52.0710417,IV1680-002-56,http://www.openstreetmap.org/node/289293714,Acton,Suffolk,1.46,,100
Adderbury,-1.28,52.06,-1.3131166,52.0165013,IV1680-003-12,http://www.openstreetmap.org/node/784075802,Adderbury,Oxfordshire,0.56,,100
Addesham,1.15,51.23,1.1885427,51.2391533,IV1680-003-15,http://www.openstreetmap.org/node/27300988,Adisham,Kent,2.43,,80
Addingham,-1.6,54,-1.8852854,53.9445203,IV1680-003-16,http://www.openstreetmap.org/node/20941138,Addingham,"Yorkshire West Riding",1.1,,100
Addington,-0.85,51.98,-0.9212331,51.9509273,IV1680-003-17,http://www.openstreetmap.org/node/844983189,Addington,Buckinghamshire,0.55,,100
