uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-001-01,①,settlement-gentlemen-1,"Abbas Comb",Somerset,Somerset,Horethorn,Horethorne,"51 04 2 24W","51.06 -2.4","POINT(-2.4 51.06)"
IV1680-001-02,①,settlement-gentlemen-1,Abberton,Worcester,Worcestershire,Parshore,Pershore,"52 11 1 51W","52.18 -1.85","POINT(-1.85 52.18)"
IV1680-001-03,①,settlement-gentlemen-1,Abberwick,Northumberl.,Northumberland,"Cocquetdale W.","Coquetdale Ward","55 25 1 12W","55.41 -1.2","POINT(-1.2 55.41)"
IV1680-001-04,①,settlement-gentlemen-1,Abbington,Northampton,Northamptonshire,Spelho,Spelhoe,"52 18 0 49W","52.3 -0.81","POINT(-0.81 52.3)"
IV1680-001-05,,,"Abborn Chappel","York E.R.","Yorkshire East Riding",Dickering,Pickering,"54 07 0 01E","54.11 0.01","POINT(0.01 54.11)"
IV1680-001-06,②,settlement-gentlemen-2,Abbots-Anne,Southampton,Hampshire,Andover,Andover,"51 14 1 27W","51.23 -1.45","POINT(-1.45 51.23)"
IV1680-001-07,②=,settlement-gentlemen-2|direction|market,ABBOTSBURY,Dorset,Dorset,Ugscomb,Uggscombe,"50 44 2 43W","50.73 -2.71","POINT(-2.71 50.73)"
IV1680-001-08,,,Abbotsbury,Hartford,Hertfordshire,Edwinstree,Edwinstree,"52 01 0 04E","52.01 0.06","POINT(0.06 52.01)"
IV1680-001-09,③⛨,settlement-gentlemen-3+,Abbots-Fee-Tything,Dorset,Dorset,Sherborn,Sherborne,"51 01 2 31W","51.01 -2.51","POINT(-2.51 51.01)"
IV1680-001-10,②,settlement-gentlemen-2,Abbotsham,Devon,Devon,Shebbear,Shebbear,"51 06 4 17W","51.1 -4.28","POINT(-4.28 51.1)"
IV1680-001-11,⛪,parish,Abbots-Leigh,Huntington,Huntingdonshire,Toseland,Toseland,"52 14 0 15W","52.23 -0.25","POINT(-0.25 52.23)"
IV1680-001-12,⸸°,settlement-knight,Abbots-Leigh,Somerset,Somerset,Abdick,Abdick,"51 01 3 02W","51.01 -3.03","POINT(-3.03 51.01)"
IV1680-001-13,②,settlement-gentlemen-2,Abbotstock,Dorset,Dorset,Bemister,Bemister,"50 52 2 51W","50.86 -2.85","POINT(-2.85 50.86)"
IV1680-001-14,①,settlement-gentlemen-1,Abbotston,Glocester,Gloucestershire,Pucklechurch,Pucklechurch,"51 31 2 31W","51.51 -2.51","POINT(-2.51 51.51)"
IV1680-001-15,⛪,parish,Abbotston,Southampton,Hampshire,Bunlesborow,Bountisborough,"51 10 1 05W","51.16 -1.08","POINT(-1.08 51.16)"
IV1680-001-16,②,settlement-gentlemen-2,Abbotston,Wilts,Wiltshire,Frustfield,Frustfield,"51 05 1 40W","51.08 -1.66","POINT(-1.66 51.08)"
IV1680-001-17,②,settlement-gentlemen-2,Abbots-Worthy,Southampton,Hampshire,Micheldever,Mitcheldever,"51 12 1 12W","51.2 -1.2","POINT(-1.2 51.2)"
IV1680-001-18,③,settlement-gentlemen-3,Abby-Foryate,Salop,Shropshire,Shrewsbury,Shrewsbury,"52 46 2 42W","52.76 -2.7","POINT(-2.7 52.76)"
IV1680-001-19,①,settlement-gentlemen-1,Abby-Gate,Leicester,Leicestershire,"W. Goscote","West Goscote","52 42 1 40W","52.7 -1.66","POINT(-1.66 52.7)"
IV1680-001-20,①,settlement-gentlemen-1,Abby-Green,Northumberl.,Northumberland,"Tindale Ward","Tindale Ward","55 13 1 40W","55.21 -1.66","POINT(-1.66 55.21)"
IV1680-001-21,①,settlement-gentlemen-1,Abby-Gren,Stafford,Staffordshire,Totmonslow,Totmonslow,"53 11 1 53W","53.18 -1.88","POINT(-1.88 53.18)"
IV1680-001-22,ʘ,seat-gentleman,Abcot,Salop,Shropshire,Purslow,Purslow,"52 26 2 54W","52.43 -2.9","POINT(-2.9 52.43)"
IV1680-001-23,,,Abdon,Salop,Shropshire,Munslow,Munslow,"52 30 2 30W","52.5 -2.5","POINT(-2.5 52.5)"
IV1680-001-24,,,Abenbury,Denbigh,Denbighshire,Bromfield,Bromfield,"53 09 2 53W","53.15 -2.88","POINT(-2.88 53.15)"
IV1680-001-25,①,settlement-gentlemen-1,"Aben Hall",Glocester,Gloucestershire,Briavel,"St Briavells","51 51 2 20W","51.85 -2.33","POINT(-2.33 51.85)"
IV1680-001-26,ʘ,seat-gentleman,Aberaman,Glamorgan,Glamorganshire,Miskin,Miskin,"51 48 3 25W","51.8 -3.41","POINT(-3.41 51.8)"
IV1680-001-27,,,Aberangel,Merioneth,Merionethshire,Mowthy,Ardudwy,"52 47 3 38W","52.78 -3.63","POINT(-3.63 52.78)"
IV1680-001-28,,,Aberarth,Cardigan,Cardiganshire,Llanylar,Llar,"52 22 4 07W","52.36 -4.11","POINT(-4.11 52.36)"
IV1680-001-29,⛪,parish,Aber-Avon,Glamorgan,Glamorganshire,Neath,Neath,"51 41 3 47W","51.68 -3.78","POINT(-3.78 51.68)"
IV1680-001-30,①,settlement-gentlemen-1,Aberbrayn,Brecknock,Brecknockshire,Devynock,Devynnock,"52 02 3 25W","52.03 -3.41","POINT(-3.41 52.03)"
IV1680-001-31,ʘ,seat-gentleman,Abercamlais,Brecknock,Brecknockshire,Devynock,Devynnock,"51 58 3 32W","51.96 -3.53","POINT(-3.53 51.96)"
