IV1680-001-01,"settlement-gentlemen-1",""Abbas Comb"","Somerset","Horethorne","[51.06, -2.4]","[50.9946, -2.43268]","POINT(-2.43268 50.9946)"
IV1680-001-02,"settlement-gentlemen-1","Abberton","Worcestershire","Pershore","[52.18, -1.85]","[52.1724, -2.03519]","POINT(-2.03519 52.1724)"
IV1680-001-03,"settlement-gentlemen-1","Abberwick","Northumberland",""Coquetdale Ward"","[55.41, -1.2]","[55.3214, -1.56765]","POINT(-1.56765 55.3214)"
IV1680-001-04,"settlement-gentlemen-1","Abbington","Northamptonshire","Spelhoe","[52.3, -0.81]","[52.2568, -0.897903]","POINT(-0.897903 52.2568)"
IV1680-001-05,"",""Abborn Chappel"",""Yorkshire East Riding"","Pickering","[54.11, 0.01]","[54.0583, -0.21388]","POINT(-0.21388 54.0583)"
IV1680-001-06,"settlement-gentlemen-2","Abbots-Anne","Hampshire","Andover","[51.23, -1.45]","[51.1898, -1.53259]","POINT(-1.53259 51.1898)"
IV1680-001-07,"settlement-gentlemen-2|direction|market","ABBOTSBURY","Dorset","Uggscombe","[50.73, -2.71]","[50.6623, -2.59085]","POINT(-2.59085 50.6623)"
IV1680-001-08,"","Abbotsbury","Hertfordshire","Edwinstree","[52.01, 0.06]","[52.0066, 0.0164011]","POINT(0.0164011 52.0066)"
IV1680-001-09,"settlement-gentlemen-3+","Abbots-Fee-Tything","Dorset","Sherborne","[51.01, -2.51]","[50.9497, -2.51477]","POINT(-2.51477 50.9497)"
IV1680-001-10,"settlement-gentlemen-2","Abbotsham","Devon","Shebbear","[51.1, -4.28]","[50.9916, -4.15795]","POINT(-4.15795 50.9916)"
IV1680-001-11,"parish","Abbots-Leigh","Huntingdonshire","Toseland","[52.23, -0.25]","[52.1944, -0.20286]","POINT(-0.20286 52.1944)"
IV1680-001-12,"settlement-knight","Abbots-Leigh","Somerset","Abdick","[51.01, -3.03]","[50.9634, -2.93137]","POINT(-2.93137 50.9634)"
IV1680-001-13,"settlement-gentlemen-2","Abbotstock","Dorset","Bemister","[50.86, -2.85]","[50.7913, -2.75558]","POINT(-2.75558 50.7913)"
IV1680-001-14,"settlement-gentlemen-1","Abbotston","Gloucestershire","Pucklechurch","[51.51, -2.51]","[51.4893, -2.44148]","POINT(-2.44148 51.4893)"
IV1680-001-15,"parish","Abbotston","Hampshire","Bountisborough","[51.16, -1.08]","[51.1248, -1.18066]","POINT(-1.18066 51.1248)"
IV1680-001-16,"settlement-gentlemen-2","Abbotston","Wiltshire","Frustfield","[51.08, -1.66]","[51.0355, -1.70427]","POINT(-1.70427 51.0355)"
IV1680-001-17,"settlement-gentlemen-2","Abbots-Worthy","Hampshire","Mitcheldever","[51.2, -1.2]","[51.1673, -1.30211]","POINT(-1.30211 51.1673)"
IV1680-001-18,"settlement-gentlemen-3","Abby-Foryate","Shropshire","Shrewsbury","[52.76, -2.7]","[52.7056, -2.73703]","POINT(-2.73703 52.7056)"
IV1680-001-19,"settlement-gentlemen-1","Abby-Gate","Leicestershire",""West Goscote"","[52.7, -1.66]","[52.6544, -1.6691]","POINT(-1.6691 52.6544)"
IV1680-001-20,"settlement-gentlemen-1","Abby-Green","Northumberland",""Tindale Ward"","[55.21, -1.66]","[55.1139, -2.15981]","POINT(-2.15981 55.1139)"
IV1680-001-21,"settlement-gentlemen-1","Abby-Gren","Staffordshire","Totmonslow","[53.18, -1.88]","[53.0957, -2.0124]","POINT(-2.0124 53.0957)"
IV1680-001-22,"seat-gentleman","Abcot","Shropshire","Purslow","[52.43, -2.9]","[52.4151, -2.93299]","POINT(-2.93299 52.4151)"
IV1680-001-23,"","Abdon","Shropshire","Munslow","[52.5, -2.5]","[52.4801, -2.52457]","POINT(-2.52457 52.4801)"
IV1680-001-24,"","Abenbury","Denbighshire","Bromfield","[53.15, -2.88]","[53.0436, -2.96926]","POINT(-2.96926 53.0436)"
IV1680-001-25,"settlement-gentlemen-1",""Aben Hall"","Gloucestershire",""St Briavells"","[51.85, -2.33]","[51.901, -2.43747]","POINT(-2.43747 51.901)"
IV1680-001-26,"seat-gentleman","Aberaman","Glamorganshire","Miskin","[51.8, -3.41]","[51.7118, -3.43139]","POINT(-3.43139 51.7118)"
